site_no,HICAP_WELL_NO
9012,36682.0
9013,1601.0
9014,2278.0
9015,36484.0
9016,70577.0
9017,15120.0
9018,29719.0
9020,29711.0
9021,35335.0
9023,28407.0
9031,15079.0
9032,15017.0
9033,15029.0
9034,961.0
9035,17611.0
9036,17622.0
9037,68590.0
9044,145.0
9045,143.0
9046,225.0
9047,350.0
9048,360.0
9049,369.0
9050,35334.0
9056,186.0
9057,543.0
9067,4205.0
9079,24153.0
9081,137.0
9082,934.0
9083,323.0
9084,456.0
9085,36313.0
9086,47.0
9087,1531.0
9088,54.0
9089,82.0
9091,70035.0
9092,36668.0
9093,237.0
9094,364.0
9095,175.0
9096,17.0
9097,2403.0
9098,2421.0
9099,2517.0
9101,5929.0
9102,28903.0
9103,69968.0
9104,33501.0
9105,71188.0
9106,547.0
9107,2520.0
9108,2721.0
9109,359.0
9110,329.0
9111,2453.0
